"Date","Open","High","Low","Close","Volume","Adj Close"
"02/06/2013","150.52","151.26","150.41","151.16","138762800","146.81"
"02/07/2013","151.21","151.35","149.86","150.96","162490000","146.62"
"02/08/2013","151.22","151.89","151.22","151.80","103133700","147.44"
"02/11/2013","151.74","151.90","151.39","151.77","73775000","147.41"
"02/12/2013","151.78","152.30","151.61","152.02","65392700","147.65"
"02/13/2013","152.33","152.61","151.72","152.15","82322600","147.77"
"02/14/2013","151.69","152.47","151.52","152.29","80834300","147.91"
"02/15/2013","152.43","152.59","151.55","152.11","215226500","147.74"
"02/19/2013","152.37","153.28","152.16","153.25","95105400","148.84"
"02/20/2013","153.14","153.19","151.26","151.34","160574800","146.99"
"02/21/2013","150.96","151.42","149.94","150.42","183257000","146.09"
"02/22/2013","151.15","151.89","150.49","151.89","106356600","147.52"
"02/25/2013","152.63","152.86","149.00","149.00","245824800","144.72"
